legajo,actual,new,bultos,horas,dias,sectores,sector_principal,turnos,diff,diff_pct,bultos_hora,bultos_dia,pay_actual,nivel_actual,bultos_actuales,desde_actual,hasta_actual,pen_tnc,pen_error,eq_sector,eq_traslado,eq_cons,total_eq,pen_total,eq_per_hour,nivel_nuevo,premio_hora_nuevo,ritmo_nuevo,sectores_nuevo
100810,0.0,0.0,0.0,2.0,2,2,CO,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,2
109211,0.0,0.0,0.0,1.0,1,1,FB,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,1
109224,0.0,0.0,0.0,1.0,1,1,VE,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,1
116662,0.0,0.0,0.0,1.0,1,1,*,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,1
116693,0.0,0.0,0.0,14.0,13,8,PI,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,1.0,0.0,0.0,8
118364,174746.52,146791.71,10195.0,94.0,18,2,CO,1,-27954.809999999998,-15.99734861672782,108.45744680851064,566.3888888888889,174746.52,3.2777777777777777,566.3888888888889,1129.4444444444443,6870.222222222223,0.0,0.0,10195.0,0.0,32.196,10227.196,0.0,108.7999574468085,2.5406593406593405,1467.002087912088,112.87794835164834,2
121553,0.0,0.0,0.0,23.0,13,5,*,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,1.0,0.0,0.0,11
121581,56427.26,63035.14,4740.0,53.0,10,2,CO,1,6607.879999999997,11.710439245144984,89.43396226415095,474.0,56427.26,1.6,474.0,835.0,10997.2,0.0,0.0,4740.0,0.0,0.147,4740.147,0.0,89.4367358490566,1.8766846361185985,1156.7513252470799,107.64569070080861,2
121583,76103.17,68544.29,5154.0,51.0,9,2,CO,1,-7558.880000000005,-9.932411488246816,101.05882352941177,572.6666666666666,76103.17,2.5555555555555554,572.6666666666666,1061.111111111111,1223.6666666666667,0.0,0.0,5154.0,0.0,0.363,5154.362,0.0,101.06592156862746,2.3404605263157894,1372.258168859649,155.04798958333333,2
123209,0.0,0.0,0.0,6.0,4,2,*,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,1.0,0.0,0.0,2
124819,59795.22,108160.54000000001,10192.0,93.0,13,3,B1,1,48365.32000000001,80.88492692225232,109.59139784946237,784.0,59795.22,2.0,784.6153846153846,970.7692307692307,1140.6923076923076,25.71,0.0,9994.05,1842.9379999999999,152.946,11989.933,25.71,128.9240107526882,1.9905273040212799,893.6300527304021,85.56586044228864,7
134967,0.0,0.0,0.0,3.0,2,2,VE,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,2
138355,0.0,0.0,0.0,1.0,1,1,SIN_SECTOR,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,1
153004,0.0,0.0,0.0,1.0,1,1,PE,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,1.0,0.0,0.0,1
16183,0.0,0.0,0.0,1.0,1,1,VE,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,1
170527,0.0,0.0,0.0,1.0,1,1,N1,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,1.0,0.0,0.0,1
170559,87505.41,100854.09,8913.0,119.0,24,2,CO,1,13348.679999999993,15.254691109955365,74.89915966386555,371.375,87505.41,1.0416666666666667,371.375,622.0833333333334,29914.291666666668,0.0,0.0,8913.0,0.0,0.0,8913.0,0.0,74.89915966386555,1.7430415263748598,915.9816930415263,82.91099219977554,2
171813,0.0,0.0,0.0,2.0,2,2,P1,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,1.0,0.0,0.0,2
175154,0.0,0.0,0.0,1.0,1,1,B1,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,1.0,0.0,0.0,1
175651,0.0,0.0,0.0,12.0,10,5,B1,1,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,1.0,0.0,0.0,7
181826,144918.0,142238.49,11698.0,143.0,27,2,CO,1,-2679.5100000000093,-1.8489835631184597,81.8041958041958,433.25925925925924,144918.0,1.7777777777777777,433.25925925925924,874.8148148148148,12116.222222222223,0.0,0.0,11698.0,0.0,0.214,11698.213,0.0,81.8056853146853,1.754070998208761,974.5562375834554,83.95890368018237,2
183034,0.0,6897.2699999999995,2079.0,47.0,7,5,PI,1,6897.2699999999995,,44.234042553191486,297.0,0.0,1.0,297.0,770.0,999.0,4.1,44.45,2950.869,795.283,15.114,3761.265,48.550000000000004,80.02691489361702,1.4222222222222223,431.88945512820516,90.78995881048776,13
183064,18336.36,7081.19,1639.0,22.0,4,4,NS,1,-11255.170000000002,-61.38170280251916,74.5,409.75,18336.36,2.0,409.75,952.5,1154.25,2.89,0.0,2039.277,662.557,0.605,2702.438,2.89,122.83809090909091,1.411904761904762,376.81409523809526,674.6180060515874,12
186680,0.0,938.98,243.0,4.0,1,1,PE,1,938.98,,60.75,243.0,0.0,1.0,243.0,770.0,999.0,2.13,0.0,240.13,38.516,1.814,280.46,2.13,70.115,1.3333333333333335,169.465,42.83466666666667,2
187265,0.0,5463.55,864.0,14.0,4,3,B1,1,5463.55,,61.714285714285715,216.0,0.0,1.0,216.0,770.0,999.0,0.0,0.0,847.02,194.621,24.785,1066.426,0.0,76.17328571428571,1.7638888888888886,789.3008333333333,118.23359722222222,6
187400,4811.52,9108.619999999999,1698.0,22.0,4,3,B1,1,4297.0999999999985,89.30857608406487,77.18181818181819,424.5,4811.52,1.25,424.5,827.5,1029.0,13.229999999999999,0.0,1751.1100000000001,407.118,56.222,2214.449,13.229999999999999,100.65677272727272,1.6941520467836257,673.020187134503,144.54218391812864,6
