sector_principal,legajos,actual,nuevo,bultos_hora,bultos_dia,dias,horas,penalizacion,diferencia_pct,perdida_abs
VT,1,142764.22,39869.5,79.74683544303798,572.7272727272727,11.0,79.0,93.25999999999999,-72.07318472373541,102894.72
AM,16,4364498.640000001,1630537.56,94.09740631057,748.4679832214887,18.3125,145.3125,6051.410000000001,-62.64089659562823,2733961.0800000005
PI,3,993617.26,374081.23,92.52883538633819,747.661231884058,23.333333333333332,188.66666666666666,97.37,-62.351576903968045,619536.03
N1,2,699160.3,296380.75,100.28157771398442,774.9562937062938,24.0,185.5,1207.39,-57.60904187494628,402779.55000000005
NT,1,73190.15000000001,33237.61,93.39473684210526,788.6666666666666,9.0,76.0,3.19,-54.587318102230974,39952.54000000001
NS,2,227193.22999999998,105720.76000000001,80.90963855421687,549.9940476190476,12.5,94.0,21.3,-53.46658877115308,121472.46999999997
VA,3,731902.08,347328.45,85.71844944517743,697.7798582995952,23.0,187.33333333333334,1442.5700000000002,-52.54441003911343,384573.62999999995
EC,2,331975.52,208758.16999999998,113.13967136150234,915.5769230769231,13.5,110.5,1095.42,-37.11639641380787,123217.35000000003
EP,1,311293.43,208033.4,105.1116504854369,866.12,25.0,206.0,4.109999999999999,-33.17128472643962,103260.03
B1,149,35669791.4,27805362.53,128.99236864260985,988.2315014373685,16.55704697986577,126.67114093959732,82817.40000000001,-22.047868970716767,7864428.869999997
BA,14,1531871.48,1204839.43,113.50016190220106,780.1583070724997,15.0,104.57142857142857,0.0,-21.348530491604954,327032.05000000005
F1,42,4623009.37,3734511.59,113.767747797697,790.5170273153178,15.071428571428571,105.07142857142857,0.0,-19.21903480805621,888497.7800000003
B3,2,96279.93000000001,79957.43,131.05113636363637,1106.4,3.0,26.0,0.0,-16.953169783152124,16322.500000000015
CO,10,961016.76,889472.4099999999,95.30808491759193,570.3237433862435,14.3,81.7,0.0,-7.444651641663369,71544.3500000001
PA,1,87666.66,102715.98,78.3883495145631,403.7,20.0,103.0,0.0,17.166526020268137,0.0
PE,1,4811.52,7708.0,110.125,881.0,1.0,8.0,0.0,60.198856078744335,0.0
A3,1,4804.0,10152.15,107.875,863.0,1.0,8.0,0.0,111.32701915070773,0.0
MU,1,38725.39,91862.2,74.44897959183673,521.1428571428571,21.0,147.0,1168.9,137.2143960331968,0.0
