sector,grupo,equiv,legajos,perdedores,actual,base,ajustado,bph,pct_base,pct_aj,perdida_aj
A3,SECOS + NOA,0.93,1,0,4804.0,10152.15,10152.15,107.875,111.32701915070773,111.32701915070773,-5348.15
AM,SECOS + NOA,1.1,16,15,4364498.640000001,1630537.56,1805767.72,94.09740631057,-62.64089659562823,-58.625998792841884,2558730.920000001
B1,SECOS + NOA,1.0,149,80,35669791.4,27805362.53,29967472.03,128.99236864260985,-22.047868970716767,-15.986410758768821,5702319.369999997
B3,SECOS + NOA,0.85,2,2,96279.93000000001,79957.43,79957.43,131.05113636363637,-16.953169783152124,-16.953169783152124,16322.500000000015
BA,OTRAS CAMARAS,1.0,14,10,1531871.48,1204839.43,1317117.15,113.50016190220106,-21.348530491604954,-14.019082723571563,214754.33000000007
CO,CAMARA 06,1.0,10,5,961016.76,889472.4099999999,944388.13,95.30808491759193,-7.444651641663369,-1.7303163370428587,16628.630000000005
EC,SECOS + NOA,1.02,2,2,331975.52,208758.16999999998,232887.33,113.13967136150234,-37.11639641380787,-29.84804120496597,99088.19000000003
EP,SECOS + NOA,0.9,1,1,311293.43,208033.4,228857.66,105.1116504854369,-33.17128472643962,-26.48169285166089,82435.76999999999
F1,OTRAS CAMARAS,1.0,42,33,4623009.37,3734511.59,4022330.09,113.767747797697,-19.21903480805621,-12.993252488259621,600679.2800000003
MU,SECOS + NOA,1.88,1,0,38725.39,91862.2,91862.2,74.44897959183673,137.2143960331968,137.2143960331968,-53136.81
N1,SECOS + NOA,0.33,2,2,699160.3,296380.75,306620.41000000003,100.28157771398442,-57.60904187494628,-56.14447645268188,392539.89
NS,SECOS + NOA,1.43,2,2,227193.22999999998,105720.76000000001,116832.36,80.90963855421687,-53.46658877115308,-48.5757740228439,110360.86999999998
NT,SECOS + NOA,1.6,1,1,73190.15000000001,33237.61,33237.61,93.39473684210526,-54.587318102230974,-54.587318102230974,39952.54000000001
PA,CAMARA 06,1.0,1,0,87666.66,102715.98,114200.54,78.3883495145631,17.166526020268137,30.26678557161866,-26533.87999999999
PE,SECOS + NOA,1.13,1,0,4811.52,7708.0,7708.0,110.125,60.198856078744335,60.198856078744335,-2896.4799999999996
PI,SECOS + NOA,1.64,3,3,993617.26,374081.23,395537.02999999997,92.52883538633819,-62.351576903968045,-60.19221425360506,598080.23
VA,SECOS + NOA,1.43,3,2,731902.08,347328.45,374429.15,85.71844944517743,-52.54441003911343,-48.84163329608244,357472.92999999993
VT,SECOS + NOA,1.38,1,1,142764.22,39869.5,54650.12,79.74683544303798,-72.07318472373541,-61.72001640186876,88114.1
