mes,almacen,legajo,dias_participa,dias_con_escala_paga,bultos_turno_mes,bultos_prom_dia,nivel_maximo_dia,puntos_escala_mes,bono_estimado,dias_nivel_0,dias_nivel_1,dias_nivel_2,dias_nivel_3,dias_nivel_4,dias_nivel_5_mas
2026-06,AREA REFRIGERADOS,207684,1,1,988.0,988.0,1,24.0,5.0,0,1,0,0,0,0
2026-06,AREA REFRIGERADOS,203690,1,1,923.01,923.01,1,24.0,5.0,0,1,0,0,0,0
2026-06,AREA REFRIGERADOS,170559,1,1,444.0,444.0,1,24.0,5.0,0,1,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,65607,19,19,415.97,21.89,1,456.0,88.0,0,19,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,69630,13,13,207.42,15.96,1,312.0,60.0,0,13,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,121553,4,4,23.06,5.76,1,96.0,18.0,0,4,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,206147,3,3,4264.52,1421.51,1,72.0,14.0,0,3,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,206696,3,3,4090.9,1363.63,1,72.0,14.0,0,3,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,206788,3,3,3949.0,1316.33,1,72.0,14.0,0,3,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,197259,3,3,458.57,152.86,1,72.0,14.0,0,3,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,206122,2,2,3626.5,1813.25,1,48.0,9.0,0,2,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,733942,2,2,2704.75,1352.38,1,48.0,9.0,0,2,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,207425,2,2,1984.33,992.16,1,48.0,9.0,0,2,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,196375,2,2,1276.9,638.45,1,48.0,9.0,0,2,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,3134,2,2,36.22,18.11,1,48.0,9.0,0,2,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,116693,2,2,16.28,8.14,1,48.0,9.0,0,2,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,175651,2,2,12.92,6.46,1,48.0,9.0,0,2,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,206716,1,1,1579.54,1579.54,1,24.0,5.0,0,1,0,0,0,0
2026-06,AREA SECOS Y NO ALIMENTOS,206697,1,1,1538.38,1538.38,1,24.0,5.0,0,1,0,0,0,0
