row,response_id,service,estado_csv,control_mapa,ticket,action,errors,warnings
8,legacy-csv-38,3565665,CERRADO,HABILITADAS,,DRY_RUN_CERRADO,,
9,legacy-csv-39,3565666,CERRADO,HABILITADAS,,DRY_RUN_CERRADO,,
10,legacy-csv-40,3565667,CERRADO,HABILITADAS,,DRY_RUN_CERRADO,,
11,legacy-csv-41,3567333,CERRADO,HABILITADAS,,DRY_RUN_CERRADO,,Huecos no numericos ignorados: C0054I82
12,legacy-csv-42,3567339,CERRADO,HABILITADAS,,DRY_RUN_CERRADO,,
13,legacy-csv-43,3567342,CERRADO,HABILITADAS,,DRY_RUN_CERRADO,,"Huecos no numericos ignorados: 10B, B8"
14,legacy-csv-44,3567084,CERRADO,HABILITADAS,,DRY_RUN_CERRADO,,
15,legacy-csv-47,3567345,CERRADO,HABILITADAS,,DRY_RUN_CERRADO,,
16,legacy-csv-48,3567348,CERRADO,HABILITADAS,,DRY_RUN_CERRADO,,
17,legacy-csv-49,3567349,CERRADO,HABILITADAS,,DRY_RUN_CERRADO,,
